Label, Index, nr_pix, rows_with_1, cols_with_1, rows_with_3p, cols_with_3p, aspect_ratio, neigh_1, no_neigh_above, no_neigh_below, no_neigh_left, no_neigh_right, no_neigh_horiz, no_neigh_vert, connected_areas, custom
a,01,42,13,9,9,9,0.666666666666667,1,6,5,11,14,13,4,1,1,0
a,02,43,11,8,10,7,0.7,0,7,6,11,13,4,5,1,1,0
a,03,88,15,12,13,12,0.785714285714286,0,12,13,16,18,0,0,1,1,0
a,04,34,11,7,5,6,0.6,0,5,5,10,14,12,4,1,1,0
a,05,101,16,14,16,14,0.866666666666667,0,10,10,14,20,0,0,1,1,0
a,06,60,16,12,9,12,0.733333333333333,1,9,12,18,22,20,6,1,1,0
a,07,50,14,11,7,8,0.769230769230769,0,11,12,17,20,19,10,1,1,0
a,08,44,12,10,6,8,0.818181818181818,0,9,8,12,16,14,8,1,1,0
b,01,37,15,8,6,6,0.5,1,6,7,16,11,13,6,1,1,0
b,02,78,16,11,9,11,0.666666666666667,0,8,9,17,13,0,1,1,1,0
b,03,45,15,10,8,6,0.642857142857143,1,10,10,17,15,14,9,1,1,0
b,04,33,14,6,6,4,0.384615384615385,1,4,4,15,12,11,4,1,1,0
b,05,34,14,7,6,4,0.461538461538462,1,7,6,15,12,12,7,1,1,0
b,06,37,14,7,7,7,0.461538461538462,1,5,5,15,12,10,3,1,1,0
b,07,46,15,9,10,7,0.571428571428571,2,8,6,18,16,15,6,1,1,0
b,08,34,15,6,5,5,0.357142857142857,1,5,5,18,14,16,4,1,1,0
c,01,35,13,9,7,6,0.666666666666667,1,9,9,11,11,11,8,1,0,0
c,02,40,16,10,7,8,0.6,1,8,9,12,11,11,8,1,0,0
c,03,41,15,11,5,5,0.714285714285714,1,14,14,14,14,14,13,1,0,0
c,04,46,15,12,6,5,0.785714285714286,2,16,16,17,17,17,15,1,0,0
c,05,44,14,13,6,5,0.923076923076923,2,18,18,13,13,13,17,1,0,0
c,06,35,13,10,2,2,0.75,2,17,17,15,15,15,16,1,0,0
c,07,36,12,10,4,3,0.818181818181818,2,15,15,14,14,14,14,1,0,0
c,08,48,15,12,6,6,0.785714285714286,2,15,14,16,17,16,15,1,0,0
d,01,35,14,8,4,4,0.538461538461538,1,8,10,14,16,15,9,1,1,0
d,02,33,14,8,2,2,0.538461538461538,2,12,13,16,17,17,12,1,0,0
d,03,39,15,10,5,4,0.6,2,13,14,17,16,17,13,2,0,0
d,04,32,13,8,4,3,0.583333333333333,1,9,9,13,14,14,10,1,0,0
d,05,35,14,9,2,2,0.615384615384615,1,13,14,16,17,17,14,1,1,0
d,06,30,13,7,3,3,0.5,1,8,9,14,15,15,9,1,1,0
d,07,35,15,8,5,4,0.5,1,8,9,15,16,16,9,1,1,0
d,08,33,14,8,4,3,0.538461538461538,1,9,10,14,15,15,10,1,1,0
e,01,43,11,10,7,10,0.9,0,18,16,7,7,6,17,1,1,0
e,02,59,13,14,8,14,1.08333333333333,0,28,29,11,9,10,29,1,1,0
e,03,50,12,12,8,12,1,1,22,24,9,8,8,23,1,1,0
e,04,47,12,11,8,11,0.909090909090909,0,16,19,7,7,6,17,1,1,0
e,05,49,13,11,7,11,0.833333333333333,0,18,20,9,9,9,19,1,1,0
e,06,51,13,12,8,12,0.916666666666667,0,20,21,9,8,8,21,1,1,0
e,07,46,12,11,7,11,0.909090909090909,0,19,19,9,8,9,20,1,1,0
e,08,55,13,13,10,12,0.857142857142857,1,23,24,9,8,6,22,3,1,0
f,01,29,13,11,3,2,0.833333333333333,3,11,9,10,10,11,11,1,0,0
f,02,28,13,10,3,2,0.75,3,10,8,12,12,13,10,1,0,0
f,03,27,13,9,3,4,0.666666666666667,4,8,7,11,11,12,8,1,0,0
f,04,27,13,10,3,3,0.75,3,9,8,9,8,9,10,1,0,0
f,05,25,12,10,3,2,0.818181818181818,4,10,9,9,8,9,12,1,0,0
f,06,26,13,10,3,3,0.75,4,9,7,11,11,12,9,1,0,0
f,07,28,14,10,4,3,0.692307692307692,3,8,6,10,10,11,8,1,0,0
f,08,29,14,10,3,3,0.692307692307692,4,9,7,12,12,13,9,1,0,0
g,01,47,13,10,7,10,0.75,0,17,18,9,13,9,17,1,1,0
g,02,48,14,10,7,9,0.692307692307692,0,16,15,12,13,12,16,1,1,0
g,03,45,13,9,5,9,0.666666666666667,0,17,18,12,14,13,17,1,1,0
g,04,47,14,9,8,9,0.615384615384615,1,13,16,10,12,11,13,1,0,0
g,05,44,13,9,6,9,0.666666666666667,0,16,16,11,13,12,17,1,1,0
g,06,66,16,14,11,14,0.866666666666667,0,26,27,15,18,15,27,1,1,0
g,07,64,16,12,12,12,0.733333333333333,1,19,22,15,17,15,20,1,1,0
g,08,66,16,13,11,13,0.8,0,23,25,15,17,15,25,1,0,0
h,01,28,14,8,3,3,0.538461538461538,3,5,4,18,17,18,4,1,0,0
h,02,27,14,8,2,2,0.538461538461538,3,6,5,18,17,18,5,1,0,0
h,03,30,14,8,3,3,0.538461538461538,3,5,3,19,18,19,3,1,0,0
h,04,31,14,9,4,2,0.615384615384615,3,5,3,18,16,17,3,1,0,0
h,05,30,14,9,4,3,0.615384615384615,3,5,4,17,16,17,3,1,0,0
h,06,31,15,8,3,3,0.5,3,5,3,20,18,19,3,1,0,0
h,07,28,14,7,4,3,0.461538461538462,3,3,3,17,15,16,1,1,0,0
h,08,25,13,7,2,3,0.5,3,5,4,17,16,17,4,1,0,0
i,01,11,11,1,0,1,0,2,2,2,11,11,11,1,2,0,0
i,02,12,12,1,0,1,0,2,2,2,12,12,12,1,2,0,0
i,03,9,9,1,0,1,0,2,2,2,9,9,9,1,2,0,0
i,04,11,11,1,0,1,0,2,2,2,11,11,11,1,2,0,0
